0.10000000 0.24524840 4.90493614 
0.20000000 0.98097446 9.80948918 
0.30000000 2.20712070 14.71327610 
0.40000000 3.92359138 19.61591415 
0.50000000 6.13025249 24.51702089 
0.60000000 8.82693178 29.41621437 
0.70000000 12.01341887 34.31311317 
0.80000000 15.68946524 39.20733660 
0.90000000 19.85478435 44.09850472 
1.00000000 24.50905170 48.98623852 
1.10000000 29.65190497 53.87016003 
1.20000000 35.28294407 58.74989238 
1.30000000 41.40173129 63.62505995 
1.40000000 48.00779142 68.49528849 
1.50000000 55.10061192 73.36020518 
1.60000000 62.67964302 78.21943879 
1.70000000 70.74429792 83.07261975 
1.80000000 79.29395296 87.91938030 
1.90000000 88.32794777 92.75935451 
2.00000000 97.84558551 97.59217849 
2.10000000 107.84613306 102.41749041 
2.20000000 118.32882120 107.23493063 
2.30000000 129.29284488 112.04414183 
2.40000000 140.73736343 116.84476904 
2.50000000 152.66150081 121.63645978 
2.60000000 165.06434584 126.41886418 
2.70000000 177.94495252 131.19163500 
2.80000000 191.30234024 135.95442778 
2.90000000 205.13549408 140.70690092 
3.00000000 219.44336514 145.44871575 
3.10000000 234.22487077 150.17953664 
3.20000000 249.47889491 154.89903104 
3.30000000 265.20428844 159.60686964 
3.40000000 281.39986944 164.30272636 
3.50000000 298.06442356 168.98627851 
3.60000000 315.19670434 173.65720679 
3.70000000 332.79543359 178.31519543 
3.80000000 350.85930170 182.95993224 
3.90000000 369.38696802 187.59110866 
4.00000000 388.37706125 192.20841984 
4.10000000 407.82817978 196.81156474 
4.20000000 427.73889208 201.40024613 
4.30000000 448.10773710 205.97417070 
4.40000000 468.93322468 210.53304911 
4.50000000 490.21383587 215.07659604 
4.60000000 511.94802345 219.60453024 
4.70000000 534.13421226 224.11657460 
4.80000000 556.77079961 228.61245617 
4.90000000 579.85615577 233.09190625 
5.00000000 603.38862432 237.55466040 
5.10000000 627.36652264 242.00045851 
5.20000000 651.78814230 246.42904482 
5.30000000 676.65174950 250.84016795 
5.40000000 701.95558554 255.23358098 
5.50000000 727.69786727 259.60904145 
5.60000000 753.87678748 263.96631139 
5.70000000 780.49051541 268.30515736 
5.80000000 807.53719718 272.62535047 
5.90000000 835.01495626 276.92666644 
6.00000000 862.92189390 281.20888557 
6.10000000 891.25608964 285.47179276 
6.20000000 920.01560171 289.71517761 
6.30000000 949.19846755 293.93883432 
6.40000000 978.80270426 298.14256180 
6.50000000 1008.82630905 302.32616362 
6.60000000 1039.26725973 306.48944805 
6.70000000 1070.12351518 310.63222807 
6.80000000 1101.39301578 314.75432135 
6.90000000 1133.07368396 318.85555026 
7.00000000 1165.16342459 322.93574190 
7.10000000 1197.66012549 326.99472806 
7.20000000 1230.56165790 331.03234524 
7.30000000 1263.86587694 335.04843464 
7.40000000 1297.57062209 339.04284215 
7.50000000 1331.67371765 343.01541834 
7.60000000 1366.17297322 346.96601845 
7.70000000 1401.06618413 350.89450238 
7.80000000 1436.35113197 354.80073469 
7.90000000 1472.02558498 358.68458454 
8.00000000 1508.08729858 362.54592571 
8.10000000 1544.53401578 366.38463659 
8.20000000 1581.36346765 370.20060010 
8.30000000 1618.57337380 373.99370375 
8.40000000 1656.16144280 377.76383953 
8.50000000 1694.12537265 381.51090394 
8.60000000 1732.46285124 385.23479796 
8.70000000 1771.17155674 388.93542699 
8.80000000 1810.24915813 392.61270084 
8.90000000 1849.69331554 396.26653370 
9.00000000 1889.50168078 399.89684409 
9.10000000 1929.67189770 403.50355486 
9.20000000 1970.20160266 407.08659310 
9.30000000 2011.08842494 410.64589016 
9.40000000 2052.32998717 414.18138157 
9.50000000 2093.92390572 417.69300702 
9.60000000 2135.86779117 421.18071032 
9.70000000 2178.15924864 424.64443935 
9.80000000 2220.79587829 428.08414602 
9.90000000 2263.77527563 431.49978623 
10.00000000 2307.09503198 434.89131982 
10.10000000 2350.75273483 438.25871054 
10.20000000 2394.74596824 441.60192597 
10.30000000 2439.07231322 444.92093753 
10.40000000 2483.72934812 448.21572035 
10.50000000 2528.71464896 451.48625332 
10.60000000 2574.02578987 454.73251895 
10.70000000 2619.66034338 457.95450338 
10.80000000 2665.61588083 461.15219631 
10.90000000 2711.88997269 464.32559095 
11.00000000 2758.48018896 467.47468396 
11.10000000 2805.38409943 470.59947541 
11.20000000 2852.59927410 473.69996874 
11.30000000 2900.12328346 476.77617066 
11.40000000 2947.95369885 479.82809116 
11.50000000 2996.08809275 482.85574340 
11.60000000 3044.52403913 485.85914371 
11.70000000 3093.25911374 488.83831149 
11.80000000 3142.29089443 491.79326918 
11.90000000 3191.61696142 494.72404219 
12.00000000 3241.23489765 497.63065888 
12.10000000 3291.14228902 500.51315045 
12.20000000 3341.33672470 503.37155094 
12.30000000 3391.81579740 506.20589716 
12.40000000 3442.57710364 509.01622859 
12.50000000 3493.61824403 511.80258741 
12.60000000 3544.93682353 514.56501837 
12.70000000 3596.53045169 517.30356876 
12.80000000 3648.39674292 520.01828839 
12.90000000 3700.53331675 522.70922947 
13.00000000 3752.93779802 525.37644662 
13.10000000 3805.60781717 528.01999678 
13.20000000 3858.54101045 530.63993914 
13.30000000 3911.73502012 533.23633515 
13.40000000 3965.18749472 535.80924840 
13.50000000 4018.89608923 538.35874460 
13.60000000 4072.85846533 540.88489153 
13.70000000 4127.07229156 543.38775897 
13.80000000 4181.53524353 545.86741865 
13.90000000 4236.24500415 548.32394422 
14.00000000 4291.19926376 550.75741117 
14.10000000 4346.39572034 553.16789681 
14.20000000 4401.83207971 555.55548018 
14.30000000 4457.50605566 557.92024204 
