   2.27127    2.19521
   2.27628    2.19945
   2.28128    2.20371
   2.28629    2.20800
   2.29129    2.21231
   2.29630    2.21664
   2.30130    2.22099
   2.30631    2.22537
   2.31131    2.22976
   2.31632    2.23418
   2.32132    2.23863
   2.32633    2.24309
   2.33133    2.24758
   2.33634    2.25209
   2.34134    2.25662
   2.34635    2.26118
   2.35135    2.26575
   2.35636    2.27035
   2.36136    2.27497
   2.36637    2.27962
   2.37137    2.28428
   2.37638    2.28897
   2.38138    2.29367
   2.38639    2.29840
   2.39139    2.30315
   2.39640    2.30792
   2.40140    2.31272
   2.40641    2.31753
   2.41141    2.32237
   2.41642    2.32722
   2.42142    2.33210
   2.42643    2.33700
   2.43143    2.34192
   2.43644    2.34686
   2.44144    2.35181
   2.44645    2.35679
   2.45145    2.36180
   2.45646    2.36682
   2.46146    2.37186
   2.46647    2.37692
   2.47147    2.38200
   2.47648    2.38710
   2.48148    2.39222
   2.48649    2.39736
   2.49149    2.40251
   2.49650    2.40769
   2.50150    2.41289
   2.50651    2.41811
   2.51151    2.42334
   2.51652    2.42859
   2.52152    2.43387
   2.52653    2.43916
   2.53153    2.44447
   2.53654    2.44979
   2.54154    2.45514
   2.54655    2.46050
   2.55155    2.46588
   2.55656    2.47128
   2.56156    2.47670
   2.56657    2.48213
   2.57157    2.48758
   2.57658    2.49305
   2.58158    2.49854
   2.58659    2.50404
   2.59159    2.50956
   2.59660    2.51509
   2.60160    2.52065
   2.60661    2.52621
   2.61161    2.53180
   2.61662    2.53740
   2.62162    2.54301
   2.62663    2.54864
   2.63163    2.55429
   2.63664    2.55995
   2.64164    2.56563
   2.64665    2.57132
   2.65165    2.57703
   2.65666    2.58275
   2.66166    2.58849
   2.66667    2.59424
   2.67167    2.60000
   2.67668    2.60578
   2.68168    2.61157
   2.68669    2.61738
   2.69169    2.62320
   2.69670    2.62903
   2.70170    2.63488
   2.70671    2.64074
   2.71171    2.64661
   2.71672    2.65249
   2.72172    2.65839
   2.72673    2.66430
   2.73173    2.67022
   2.73674    2.67615
   2.74174    2.68210
   2.74675    2.68805
   2.75175    2.69402
   2.75676    2.70000
   2.76176    2.70599
   2.76677    2.71199
   2.77177    2.71800
   2.77678    2.72402
   2.78178    2.73005
   2.78679    2.73609
   2.79179    2.74214
   2.79680    2.74821
   2.80180    2.75428
   2.80681    2.76036
   2.81181    2.76644
   2.81682    2.77254
   2.82182    2.77865
   2.82683    2.78476
   2.83183    2.79088
   2.83684    2.79702
   2.84184    2.80315
   2.84685    2.80930
   2.85185    2.81545
   2.85686    2.82161
   2.86186    2.82778
   2.86687    2.83396
   2.87187    2.84014
   2.87688    2.84633
   2.88188    2.85252
   2.88689    2.85872
   2.89189    2.86493
   2.89690    2.87114
   2.90190    2.87736
   2.90691    2.88358
   2.91191    2.88981
   2.91692    2.89604
   2.92192    2.90227
   2.92693    2.90852
   2.93193    2.91476
   2.93694    2.92101
   2.94194    2.92726
   2.94695    2.93352
   2.95195    2.93978
   2.95696    2.94604
   2.96196    2.95231
   2.96697    2.95858
   2.97197    2.96485
   2.97698    2.97112
   2.98198    2.97740
   2.98699    2.98367
   2.99199    2.98995
   2.99700    2.99623
   3.00200    3.00251
   3.00701    3.00879
   3.01201    3.01508
   3.01702    3.02136
   3.02202    3.02764
   3.02703    3.03393
   3.03203    3.04021
   3.03704    3.04650
   3.04204    3.05278
   3.04705    3.05906
   3.05205    3.06534
   3.05706    3.07162
   3.06206    3.07790
   3.06707    3.08418
   3.07207    3.09045
   3.07708    3.09672
   3.08208    3.10299
   3.08709    3.10926
   3.09209    3.11553
   3.09710    3.12179
   3.10210    3.12805
   3.10711    3.13430
   3.11211    3.14055
   3.11712    3.14680
   3.12212    3.15305
   3.12713    3.15929
   3.13213    3.16552
   3.13714    3.17175
   3.14214    3.17798
   3.14715    3.18420
   3.15215    3.19041
   3.15716    3.19662
   3.16216    3.20282
   3.16717    3.20902
   3.17217    3.21521
   3.17718    3.22140
   3.18218    3.22758
   3.18719    3.23375
   3.19219    3.23991
   3.19720    3.24607
   3.20220    3.25221
   3.20721    3.25836
   3.21221    3.26449
   3.21722    3.27061
   3.22222    3.27673
   3.22723    3.28284
   3.23223    3.28894
   3.23724    3.29502
   3.24224    3.30111
   3.24725    3.30718
   3.25225    3.31324
   3.25726    3.31929
   3.26226    3.32533
   3.26727    3.33136
   3.27227    3.33738
   3.27728    3.34339
   3.28228    3.34938
   3.28729    3.35537
   3.29229    3.36134
   3.29730    3.36731
   3.30230    3.37326
   3.30731    3.37920
