   0.0000000000    0.0000000000    0.0000000000   21.2132034356   21.2132034356 
   0.0050000000    0.1059985960    0.1058760229   21.1862515715   21.1372327250 
   0.0100000000    0.2118626815    0.2113725964   21.1593991688   21.0614235292 
   0.0150000000    0.3175927526    0.3164905260   21.1326457351   20.9857749763 
   0.0200000000    0.4231893030    0.4212306125   21.1059907806   20.9102862001 
   0.0250000000    0.5286528237    0.5255936528   21.0794338188   20.8349563398 
   0.0300000000    0.6339838037    0.6295804393   21.0529743659   20.7597845399 
   0.0350000000    0.7391827291    0.7331917602   21.0266119413   20.6847699502 
   0.0400000000    0.8442500840    0.8364283994   21.0003460674   20.6099117260 
   0.0450000000    0.9491863499    0.9392911367   20.9741762692   20.5352090277 
   0.0500000000    1.0539920060    1.0417807475   20.9481020747   20.4606610209 
   0.0550000000    1.1586675292    1.1438980033   20.9221230150   20.3862668766 
   0.0600000000    1.2632133940    1.2456436714   20.8962386238   20.3120257707 
   0.0650000000    1.3676300725    1.3470185147   20.8704484376   20.2379368842 
   0.0700000000    1.4719180346    1.4480232925   20.8447519957   20.1639994034 
   0.0750000000    1.5760777479    1.5486587598   20.8191488404   20.0902125193 
   0.0800000000    1.6801096777    1.6489256674   20.7936385165   20.0165754280 
   0.0850000000    1.7840142870    1.7488247624   20.7682205715   19.9430873308 
   0.0900000000    1.8877920366    1.8483567877   20.7428945558   19.8697474335 
   0.0950000000    1.9914433851    1.9475224824   20.7176600222   19.7965549469 
   0.1000000000    2.0949687886    2.0463225816   20.6925165265   19.7235090868 
   0.1050000000    2.1983687013    2.1447578163   20.6674636268   19.6506090735 
   0.1100000000    2.3016435751    2.2428289141   20.6425008841   19.5778541324 
   0.1150000000    2.4047938597    2.3405365982   20.6176278617   19.5052434932 
   0.1200000000    2.5078200025    2.4378815882   20.5928441256   19.4327763907 
   0.1250000000    2.6107224490    2.5348646000   20.5681492445   19.3604520641 
   0.1300000000    2.7135016424    2.6314863456   20.5435427894   19.2882697571 
   0.1350000000    2.8161580236    2.7277475331   20.5190243338   19.2162287183 
   0.1400000000    2.9186920317    2.8236488670   20.4945934538   19.1443282006 
   0.1450000000    3.0211041034    2.9191910480   20.4702497280   19.0725674615 
   0.1500000000    3.1233946735    3.0143747733   20.4459927373   19.0009457629 
   0.1550000000    3.2255641746    3.1092007362   20.4218220651   18.9294623712 
   0.1600000000    3.3276130373    3.2036696263   20.3977372973   18.8581165571 
   0.1650000000    3.4295416901    3.2977821298   20.3737380218   18.7869075960 
   0.1700000000    3.5313505593    3.3915389292   20.3498238294   18.7158347671 
   0.1750000000    3.6330400695    3.4849407032   20.3259943128   18.6448973544 
   0.1800000000    3.7346106429    3.5779881272   20.3022490673   18.5740946459 
   0.1850000000    3.8360627000    3.6706818730   20.2785876904   18.5034259339 
   0.1900000000    3.9373966589    3.7630226087   20.2550097818   18.4328905149 
   0.1950000000    4.0386129362    3.8550109991   20.2315149437   18.3624876897 
   0.2000000000    4.1397119462    3.9466477054   20.2081027802   18.2922167630 
   0.2050000000    4.2406941012    4.0379333854   20.1847728981   18.2220770439 
   0.2100000000    4.3415598116    4.1288686934   20.1615249059   18.1520678454 
   0.2150000000    4.4423094861    4.2194542803   20.1383584146   18.0821884845 
   0.2200000000    4.5429435310    4.3096907935   20.1152730374   18.0124382825 
   0.2250000000    4.6434623510    4.3995788772   20.0922683896   17.9428165645 
   0.2300000000    4.7438663488    4.4891191722   20.0693440885   17.8733226595 
   0.2350000000    4.8441559251    4.5783123157   20.0464997536   17.8039559007 
   0.2400000000    4.9443314790    4.6671589420   20.0237350066   17.7347156249 
   0.2450000000    5.0443934072    4.7556596817   20.0010494713   17.6656011730 
   0.2500000000    5.1443421051    4.8438151623   19.9784427735   17.5966118897 
   0.2550000000    5.2441779657    4.9316260081   19.9559145409   17.5277471236 
   0.2600000000    5.3439013806    5.0190928400   19.9334644035   17.4590062268 
   0.2650000000    5.4435127393    5.1062162758   19.9110919932   17.3903885555 
   0.2700000000    5.5430124295    5.1929969299   19.8887969439   17.3218934696 
   0.2750000000    5.6424008371    5.2794354137   19.8665788916   17.2535203325 
   0.2800000000    5.7416783461    5.3655323354   19.8444374740   17.1852685116 
   0.2850000000    5.8408453389    5.4512883000   19.8223723311   17.1171373776 
   0.2900000000    5.9399021960    5.5367039093   19.8003831045   17.0491263053 
   0.2950000000    6.0388492959    5.6217797621   19.7784694381   16.9812346727 
   0.3000000000    6.1376870157    5.7065164540   19.7566309774   16.9134618616 
   0.3050000000    6.2364157305    5.7909145777   19.7348673699   16.8458072572 
   0.3100000000    6.3350358136    5.8749747226   19.7131782649   16.7782702485 
   0.3150000000    6.4335476367    5.9586974752   19.6915633138   16.7108502278 
   0.3200000000    6.5319515697    6.0420834189   19.6700221696   16.6435465910 
   0.3250000000    6.6302479808    6.1251331341   19.6485544873   16.5763587373 
   0.3300000000    6.7284372365    6.2078471982   19.6271599235   16.5092860695 
   0.3350000000    6.8265197014    6.2902261857   19.6058381368   16.4423279937 
   0.3400000000    6.9244957386    6.3722706681   19.5845887876   16.3754839196 
   0.3450000000    7.0223657094    6.4539812140   19.5634115379   16.3087532601 
   0.3500000000    7.1201299735    6.5353583888   19.5423060516   16.2421354314 
   0.3550000000    7.2177888890    6.6164027554   19.5212719944   16.1756298532 
   0.3600000000    7.3153428120    6.6971148735   19.5003090335   16.1092359483 
   0.3650000000    7.4127920972    6.7774953000   19.4794168380   16.0429531429 
   0.3700000000    7.5101370978    6.8575445891   19.4585950787   15.9767808664 
